,name,born,nickname,height,img_x,birth name,img_y,rank,bio,word_count,attributes
0,Aamir Khan,"March 14, 
     
1965    
  
in Bombay, Maharashtra, India","Mr. Perfectionist
Tom Hanks of India
Ace of Bollywood
Ace Khan
Mr. Perfect","5' 4"" (1.62 m)","https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",,https://www.forbesindia.com/media/celeblist2019/small/015_Aamir%20Khan.jpg,15.0,"Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his characters. This is also one of the reasons why his films and he is loved all over the world. His most visible changes include the movies like Ghajini, 3 idiots, Talaash, Dhoom 3, PK and Dangal. With his recent successful movies like Dangal, Pk , Talaash and TV serial Satyamev jayate, his image has become more of a serious actor. However, the truth is that he is a fabulous actor when it comes to comedy too. He has played some really funny iconic characters in some cult comedy movies like Andaaz Apna Apna, Ishq, Mela, Dil chahta hai and many more. He has also done a lot of TVC where his character was funny like Coca Cola, Tata Sky and Snapdeal.

Aamir khan is said to open Chinese market for Indian Films. Lagaan in 2001 released in china nationwide. 3 idiots became a cult hit in china. After 3 idiots becoming a big hit, his other movies like Taare zameen par and Ghajini also went on to gain huge fan following. Aamir Khan's next big movies like Dhoom 3 (2013), PK (2014) and Dangal (2016) also became successful on chinese box office. His recent movie Secret superstar (2017) became a huge hit too in China.

Aamir was first introduced as a child artiste in the 1970's hit Yaadon Ki Baaraat (1973) - he was the youngest child in the trio.

His performance in Earth (1998) as the Ice-Candy man has received rave reviews from Indian and international critics. Using classic ""method acting"" and an adopted technique inspired by his seniors Sanjeev Kumar, Rajesh Khanna, Dev Anand and Shammi Kapoor, Aamir acts in all genres of Indian films - comedy, action, drama and romance. He is regarded as a complete Indian actor of the post 1990 generation of actors for his diverse choice of roles and films. In 2007 he turned director with the film Taare Zameen Par (2007), which not only brought him immense critical acclaim but was also a huge box office success. Many of his films are considered as cult classics like Lagaan: Once Upon a Time in India (2001), Dil Chahta Hai (2001), Rang De Basanti (2006), He Who Wins Is King (1992) and Everyone Has Their Own Style (1994). He divorced his first wife in December 2001 and married Kiran Rao in December 2005.

In 2008 his first all out commercial action film Ghajini (2008) went on to become the highest grossing film of its time in Indian Cinema and 4th highest inflation adjusted, grossing a total of Rs.226 on the worldwide box office and the first film to cross 100 crores on the domestic Indian box office, making a total of Rs.115 crores. This record didn't last long, though, since his next release 3 Idiots (2009) went on to shatter not only the highest grosser record but many more. It not only made the highest opening first day, first weekend and first week records but subsequently continued to shatter many records on the following weekends and weeks, making many circuits on the way. It made a total of Rs.202 crores domestically and Rs.400 crores on the worldwide box office, becoming the highest overseas grosser to date, a staggering feat given that no other film had even come close to making Rs.100 crores on the domestic box office until then, except for his own Ghajini (2008) the previous year.

Aamir is said to be the actor who first started the trend of actors working in one film at a time, when the others worked in four or five at the same time. He is also known to shun popular film trade magazine awards like Filmfare, Star Screen, etc. as he doesn't have trust in their credibility and transparency. Recently he was awarded the third highest civilian honor Padama Bhushan by the government of India.

Aamir Khan's range of characterizations remains unparalleled and because of this diversity, and his ability to portray different characters believably on screen, today he is regarded as not only one of the biggest Superstars but also one of the finest actors of Indian Cinema. Aamir Khan slipped nine spots without a single release in 2019. His last outing, Thugs of Hindostan had flopped at the box office.",751,"['aamir', 'movie like', 'film', 'like', 'ghajini', 'china', 'box office', 'box', 'office', 'first', 'idiot', 'highest', 'record', 'crore']"
1,Madhuri Dixit,"May 15, 
     
1967    
  
in Bombay, Maharashtra, India","Bubbly
Dhak Dhak Girl
Mohini","5' 2½"" (1.58 m)","https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY98_CR15,0,67,98_AL_.jpg",Madhuri Shankar Dixit,,-1.0,"Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed. Born in a Marathi Brahmin Koknastha family to Mr. Shankar and Mrs. Snehlata, Madhuri Dixit has two sisters Rupa, Bharti, and brother Ajit. She performed decently well in her academics and aspired to become a Microbiologist which made her pursue the subject from Mumbai's Sathaye College, formerly known as Parle College; but within six months she opted out from college to pursue her career in Bollywood. Though she debuted with 'Abodh' in 1984, it's with 'Tezaab' (1988), a romantic thriller caste opposite Anil Kapoor, where she started garnering fame and popularity. She earned her first nomination of Filmfare Best Actress with this movie and it was also the highest grossing film in that year. Her performance in 'Ek Do Tin' made every heart groove to the beats of the song. During this time, Madhuri also got featured on Debonair and she was also featured as the cover girl on 1986 Filmfare edition. Since then she has graced more than 72 movies with her stupendous performances.

After 'Tejaab', Madhuri Dixit once again was paired with Anil Kapoor for Subhash Ghai's 'Ram Lakhan'(1989) which went on to be a super hit and the second highest grossing movie of the year. In her next 'Prem Pratigya' she received critical acclamation for her performance and earned her second nomination for Filmfare Best Actress Award. Dixit continued her success with her fourth pairing with Anil Kapoor in Vidhu Vinod Chopra's drama 'Parinda'. In 1990, Madhuri starred in the romantic drama 'Dil' opposite Aamir Khan. The film became the biggest box office hit of the year and made her one of the leading actresses of Bollywood. Her performance in 'Dil' also earned her the first Filmfare Best Actress Award of her career. She was also seen in the dramas 'Sailaab' opposite Aditya Pancholi and 'Kishen Kanhaiya' opposite Anil Kapoor. The following year in 1991, she starred in the super-hit movie 'Saajan' opposite Salman Khan and Sanjay Dutt which also earned her the fourth nomination for the Filmfare Best Actress Award. In 1992, Dixit featured in the film 'Beta' once again opposite Anil Kapoor which won her the second Filmfare Best Actress Award. Following the film's success, Dixit became famously known as the ""Dhak Dhak Girl"" for her performance on the song ""Dhak Dhak Karne Laga"".

In 1993, Dixit starred in the super-hit film 'Khalnayak; opposite Sanjay Dutt and Jackie Shroff. Her portrayal of the police officer Ganga earned her critical acclaim and a sixth nomination for the Filmfare Best Actress Award and became the year's second highest grossing film. In 1994, Dixit starred in 'Anjaam', being paired with Shahrukh Khan for the first time. Dixit's performance of a revenge-seeking wife and mother earned her a seventh nomination for the Filmfare Best Actress Award. She was praised for her performance, even though the film was an average performer at the box office. Her next was 'Hum Aapke Hain Koun' opposite Salman Khan. The film became one of the biggest hits & the highest grossing Bollywood film after its theatrical run and held this record for 7 years till the release of 'Gadar: Ek Prem Katha' (2001). Madhuri was awarded her third Filmfare Best Actress Award for the film. 1995 witnessed Dixit star in the hit film 'Raja' opposite Sanjay Kapoor. The film became the fourth highest grosser of the year and its success was attributed to her immense popularity. Her next release was David Dhawan's 'Yaraana' opposite Rishi Kapoor, in which she played a dancer on the run from her abusive lover. Both films earned her nominations for the Filmfare Best Actress Award.

After a not so successful year in 1996 with films like 'Prem Granth' and 'Rajkumar'Madhuri Dixit bounced back with Prakash Jha's 'Mrityudand' in 1997 followed by Yash Chopra's 'Dil to Pagal Hai' (1997), opposite Shahrukh Khan and Karisma Kapoor. Her performance in 'Dil toh Pagal Hai' fetched her the fourth Filmfare Best Actress Award. The film also proved to be a success at the box office. However, her career growth slowed down with films like Wajood (1998) and Aarzoo (1999). In 2000, Madhuri starred in Rajkumar Santoshi's 'Pukar' opposite Anil Kapoor which earned her twelfth nomination for the Filmfare Best Actress Award. She then played the title character in 'Gaja Gamini' In 2001, Dixit starred in Deepak Shivdasani's love triangle 'Yeh Raaste Hain Pyaar Ke' opposite Ajay Devgan and Preity Zinta, followed by reuniting with Rajkumar Santoshi in the multi-starer 'Lajja' (2001). Dixit was nominated for the Filmfare Award for Best Supporting Actress for Lajja. In 2002, Dixit starred in a lead role in the love triangle film 'Hum Tumhare Hain Sanam' opposite Shahrukh Khan and Salman Khan. Madhuri Dixit's next release was Sanjay Leela Bhansali's period romance 'Devdas', co-starring Shahrukh Khan and Aishwarya Rai. Devdas was chosen as India's official entry for the Academy Award for Best Foreign Language Film and received a nomination for the BAFTA Award for Best Film Not in the English Language. Dixit won the Filmfare Best supporting actress award for the film. It turned out to be her last film for a while as she shifted to Denver, U.S.A with her husband Dr. Shriram Madhav Nene, a Cardiovascular Surgeon. She subsequently became a proud mother of two sons (Arin and Ryan) in March 2003 and March 8, 2005, respectively.

In 2006, Dixit returned to India with her family and acted in Anil Mehta's dance film 'Aaja Nachle' (2007). It was her first release in five years and her performance was appreciated by critics and also earned her the nomination for the Filmfare Best Actress Award.

In 2008, she was also awarded the prestigious 'Bharat Ratna' for her contribution to Indian cinema by the Government of India. In 2011, Dixit was felicitated with the Filmfare Special Award for completing 25 years in the film industry.

In 2012, she was seen in the comedy 'Dedh Ishqiya' (2014), a sequel to Ishqiya (2010) opposite Naseeruddin Shah, Arshad Warsi, and Huma Qureshi. The film opened to a positive response from critics who called it ""one of the year's most important releases"". The film also earned her the fourteenth nomination for Filmfare Award for Best Actress. Her next release of the year was the debuted director Soumik Sen's 'Gulaab Gang' alongside Juhi Chawla.

Madhuri Dixit made her debut in Marathi cinema both as an actor & Producer in 2018. She played the lead in 'Bucket List' and produced ""15th August"" which is slated for a Netflix worldwide released in 2019. She has also lent her voice for the Netflix original 'Mowgli'.

In (2019) she was seen reunited with Anil Kapoor after 17years on screen in a comedy, action and adventure movie 'Total Dhamaal' the third sequel of 'Dhamaal' (2007). In the same year, she also a part of Dharma productions 'Kalank' a period drama film directed by Abhishekh Varman starring along with Sanjay Dutt, Varun Dhawan, Aditya Roy Kapur, Alia Bhatt, and Sonakshi Sinha.

Madhuri Dixit is also associated with various philanthropic activities. She is associated with UNICEF since 2014 to advocate the rights of children, prevent child labor and child trafficking. She was appointed as the brand ambassador for the Beti Bachao Beti Padhao campaign by the Government of India in 2015 that aspires to create awareness and upgrade the efficiency of welfare services intended for girls.

Dixit made her first appearance on television as a host for India's first reality show Kahin Na Kahin Koi Hai on Sony TV followed by Jhalak Dikhla Ja & Dance Deewane. ",1253,"['dixit', 'filmfare best actress', 'actress award', 'best actress award', 'best actress', 'filmfare best', 'madhuri', 'filmfare', 'film', 'best', 'opposite', 'nomination filmfare best', 'nomination filmfare', 'award']"
2,Manisha Koirala,"August 16, 
     
1970    
  
in Kathmandu, Nepal",,"5' 2"" (1.58 m)","https://m.media-amazon.com/images/M/MV5BMjMwMDMxOTQ1OV5BMl5BanBnXkFtZTcwNzIyMjcwNQ@@._V1_UY98_CR40,0,67,98_AL_.jpg",Manisha P. Koirala,,-1.0,"Manisha Koirala (born 16 August 1970) is a Nepali actress who mainly appears in Bollywood, though she has worked in several South Indian and her native country's films. Noted for her acting prowess, Koirala is the recipient of several accolades, including four Filmfare Awards-and is one of India's most well-known actresses. Critics have noted that her niche as an actor remains unharmed irrespective of her commercial potent. Manisha was born into the politically prominent Koirala family, in which several of her family members went on to rule the nation, but she did not aspire to pursue a career in politics. A stint in modeling opened a career path in films, and she made her Bollywood debut with the top-grossing production Saudagar (1991). In spite of initial struggle to leave a mark, she went on to establish herself as one of the leading actresses in the 1990s with such films as 1942: A Love Story (1994), Akele Hum Akele Tum (1995), Agni Sakshi (1996) and Gupt (1997). Koirala gained particular recognition for her willingness to experiment with a variety of strong, dramatic roles, and she delivered several acclaimed performances in a range of films that did well with critics, including Bombay (1995), Khamoshi: The Musical (1996), Dil Se.. (1998), Mann (1999), Lajja (2001), Company (2002), and Escape from Taliban (2003). These films brought Koirala several awards and nominations, including three Filmfare Critics Awards for Best Actress, a South Filmfare Award for Best Actress, and a Star Screen Award Best Actress, among others. This was followed by a major period of decline when most of her films failed to do well. Her work in the Malyalam drama Elektra, the anthology film I Am (both 2010), and the romantic comedy Mappillai (2011) was received well, but she took a break from acting in 2012 to return three years later with the psychological thriller Chehere: A Modern Day Classic (2015).

She was appointed as the Goodwill Ambassador for the United Nations Population Fund in 1999 and 2015, and was involved in the relief works after the Nepal earthquake 2015. She promotes various causes such as women's rights, prevention of violence against women, prevention of human trafficking and cancer awareness.

Manisha was seen back on the Silver Screen with Sunaina Bhattnagar's Dear Maya. Manisha received appreciation from her fans and industry from across the whole of India. She has been seen doing some amazing motivational and social events.

She was one of the speakers along side Dalai Lama and CM of Andhra Pradesh at the Womens's Parliament, Amravati. She advocated on how we need more women in our board rooms, court rooms, schools and universities to make policies for women and that women should stand in solidarity for each other. Manisha's TEDx talk touched hearts of millions of people and she has received appreciation from across worldwide for same. She spoke about her struggle with cancer and her brave victory as a warrior and highly advocates on how focusing from early day on our personal health can do wonders. Her philosophy is to focus on mind, body and soul rather than just physical body to stay fit and positive. ",522,"['woman', 'manisha', 'koirala', 'several', 'actress', 'best actress', 'award best actress', 'film', 'award', 'received appreciation', 'prevention', 'akele', 'well', 'award best']"
3,Shriya Saran,"September 11, 
     
1982    
  
in Dehra Dun, Uttar Pradesh, India",,"5' 4½"" (1.64 m)","https://m.media-amazon.com/images/M/MV5BMTk4MDc5NDk3MV5BMl5BanBnXkFtZTcwNTc5MDQ2NA@@._V1_UY98_CR40,0,67,98_AL_.jpg",Shriya Saran Bhatnagar,,-1.0,"Shriya Saran also known by the mononym Shriya, is an Indian film actress, model and presenter. She has worked in multiple of the regional industries of Indian cinema, including Hindi, Tamil, and Telugu language films, as well as a few films in English, Malayalam and Kannada. Saran made her film debut in 2001 with Ishtam and had her first commercial success with the Telugu film Santosham (2002). She would subsequently appear in several Telugu films, while making in-roads in the Hindi and Tamil film industries. In 2007, Saran starred in Sivaji (2007), the highest grossing Tamil film at that time. Her following projects include such Tamil films as Azhagiya Tamilmagan (2007) and Kanthaswamy (2009), as well as high-budget Hindi productions like Mission Istanbul (2008), her roles in which have established her as one of the leading actresses in the South Indian film industry. In 2008, Saran played the lead role in the American-Indian co-production The Other End of the Line (2008). Apart from her work in films, Saran has been the brand ambassador for several stores across India, endorsing beauty and health products. Among other activities, she has taken part in a number of charity organizations, and has recently opened a spa employing visually challenged people. ",207,"['saran', 'film', 'tamil film', 'tamil', 'shriya', 'industry saran', 'film industry saran', 'telugu', 'industry', 'hindi tamil', 'telugu film', 'indian', 'hindi', 'production']"
4,Abhay Deol,"March 15, 
     
1976    
  
in Chandigarh, Punjab, India",,"5' 10¾"" (1.8 m)","https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",,,-1.0,"Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year acting course, Abhay answered to his Bollywood calling by coming to India and joining the Hindi cinema. He made his film debut in the 2005 film Didn't Think of It (2005) opposite Ayesha Takia. ",87,"['deol', 'abhay', 'actor', 'film', 'opposite ayesha takia', 'opposite ayesha', 'nephew famous veteran', 'nephew famous', 'mumbai university abhay', 'mumbai university', 'los angeles studied', 'sunny deol bobby', 'los angeles', 'los']"
5,Ajay Devgn,"April 2, 
     
1969    
  
in New Delhi, India",,"5' 7½"" (1.71 m)","https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY98_CR2,0,67,98_AL_.jpg",Vishal Veeru Devgan,https://www.forbesindia.com/media/celeblist2019/small/012_Ajay%20Devgan.jpg,12.0,"Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Courage (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale (1996) and Passion (1997). In 1999, Devgn received his first National Film Award for Best Actor for his performance in Mahesh Bhatt's drama Zakhm. Some of his later films of the decade are Pyaar To Hona Hi Tha, Hum Dil De Chuke Sanam and Kachche Dhaage. In the early 2000s, he starred in Lajja (2001) and Company (2002). In 2003, he won his second National Film Award for Best Actor for his portrayal of Bhagat Singh in Rajkumar Santoshi's biopic The Legend of Bhagat Singh. Throughout his career he has given many critically and commercially successful films including Raincoat (2004), Yuva (2004), Omkara (2006), Golmaal: Fun Unlimited (2006), Golmaal Returns (2008), All the Best: Fun Begins (2009), Once Upon a Time in Mumbaai (2010), Golmaal 3 (2010), Raajneeti (2010), and Singham (2011). Having done so, he has established himself as one of the leading actors of Bollywood. In 2008, he debuted as a film director with his starrer U Me Aur Hum which proved to be an moderate success at the box office. He then established the production house, Ajay Devgn Films. Devgn ranks a high 12 on the list, with the success of Total Dhamaal and the Punjabi remake of Singham.",254,"['devgn', 'film', 'golmaal', 'singham', 'bhagat singh', 'bhagat', 'best', 'award best', 'fun', 'ajay devgn', 'award best actor', 'film award best', 'national film award', 'national film']"
6,Rajinikanth,"December 12, 
     
1950    
  
in Bangalore, Mysore State, India","Superstar
Thalaivar","5' 7"" (1.7 m)","https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UX67_CR0,0,67,98_AL_.jpg",Shivaji Rao Gaekwad,https://www.forbesindia.com/media/celeblist2019/small/013_Rajanikant.jpg,13.0,"Rajinikanth has been a megastar in the Tamil movie industry since the 70s. He is one of the highest earning actors in Asia. Primarily starring in Tamil movies, he has also worked in Hindi, Telugu, Kannada, and American movies. He was born in Bangalore (India), and was employed as a bus conductor before he joined the Madras Film Institute. He made his debut in _Katha Sangama (1975)_ and became a star with _Apoorva Raagangal (1975)_ . His unique acting style is characterized by trademark gestures such as flipping a cigarette in the air and catching it with his mouth. He played varied roles successfully and is considered as an actor who can easily perform action, drama, and comedy. He is not very popular for his dancing, which is considered a crucial art for actors in Indian Movies. His performances in movies such as _Mullum Malarum (1978)_, _Aarilirunthu Arubathu Varai (1979)_, _Johnny (1980) in the 70's and 80's to movies such as _Kabali (2016)_ recently, are considered to be examples of his acting abilities. His performances as an action-megastar overshadow his critically acclaimed performances in these movies. The Government of India has honoured him with the Padma Bhushan in 2000 and the Padma Vibhushan in 2016 for his contributions to the arts. At the 45th International Film Festival of India (2014), he was conferred with the ""Centenary Award for Indian Film Personality of the Year"". The reigning Tamil superstar climbed one spot to number 13, riding on back-to-back hits.",248,"['movie', 'considered', 'megastar', 'performance movie', 'tamil', 'padma', 'tamil movie', 'art', 'performance', 'action', 'back', 'actor', 'film', 'rajinikanth megastar tamil']"
7,Nawazuddin Siddiqui,"May 19, 
     
1974    
  
in Budhana, Muzaffarnagar, Uttar Pradesh, India",,"5' 2"" (1.58 m)","https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",,,-1.0,"Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012).

Early life and education

Nawazuddin Siddiqui is from Budhana a small town of Muzaffarnagar district in Uttar Pradesh, where his father is a farmer. [2][3][4] Siddiqui grew up amongst nine siblings, seven brothers and two sisters. [5][2]

After graduating in science from a local college, he worked as a chemist in a petrochemical company for a short while. But boredom set in soon, and he moved to Delhi, here in the next one and a half year period, he started watching plays, while working a watchman at an office. He got associated with Sakshi Theatre Group and worked with actors like Manoj Bajpai and Saurabh Shukla.

Eventually he graduated from the The National School of Drama (NSD), New Delhi in 1996.Now he is a well known actor. Career

After graduating from NSD, he moved to Mumbai. Nawazuddin made his Bollywood debut in 1999, with a small role in Sarfarosh starring Aamir Khan. After moving to Mumbai he tried to get work in television, but did not achieve much success. After his debut, he appeared in short roles, where he remained unnoticed, despite his strong performances. He did a short film, The Bypass in 2003, where he appeared with actor, Irrfan Khan. Between 2002 and 2005, he was out of work, and lived in an apartment where he shared with four others, and struggled through his acting carrier by conducting occasional acting workshops. His appearance in Anurag Kashyap's Black Friday (2007) paved way for other powerful roles. His first lead role in a feature film was in Prashant Bhargava's PATANG, which premiered at the Berlin Film Festival, for which Nawazuddin's performance was praised by the world renowned film critic Roger Ebert (awarding the film 4 stars), a role which 'transformed his acting styles'. In 2009, he appeared in a cameo role in hit song ""emotional attyachar"" in a movie Dev D, in his moniker as Rangila along with his duo Rasila (known together as Patna ke Presley). However it was his role of a journalist in Aamir Khan Productions's Peepli Live (2010). That movie first got him a recognition as an actor. This was followed by a role as police informer Gopi in biopic, Paan Singh Tomar, directed by Tigmanshu Dhulia, also in the same year.

He, however became a household name post Kahaani (2012), where he played the archetypal short tempered cop Khan. Gangs of Wasseypur followed which furthered his fame. He played his first lead role as Sonu Duggal in Ashim Ahluwalia's Miss Lovely that premiered at the 2012 Cannes Film Festival, a role Nawazuddin describes as his ""most real performance so far."" Nawazuddin also played a lead role in his following films, Gangs of Wasseypur - Part II and Aatma. He appeared in Aamir Khan's 2012 release, Talash. Gangs of Wasseypur has been touted as a career defining film for Nawazuddin, where he played the role of Faizal Khan, a second son of Sardar Khan, played by Manoj Bajpai. His gaudy style of dress, magnificent accent and out-of-the-way mannerism in Gangs of Wasseypur left an impression on Bollywood critics. His film PATANG, initially released in the U.S. and Canada, garnered much attention for Nawazuddin with rave reviews from the New York Times, Los Angeles Times and Roger Ebert.

Siddiqui is best known for his roles in The Lunchbox (2013), which premiered as part of the International Critics' Week at the 2013 Cannes Film Festival and won him multiple awards, Manto (2018), for which his groundbreaking performance won him Best Actor at the 2018 Asian Pacific Screen Awards[8] and Raman Raghav 2.0 for which he won the Fancine Malaga Award in Spain[9] and in Asia Pacific Screen Awards[10] both in the category of Best Actor. Nawazuddin Siddiqui is the only Actor in the world having 8 films officially selected and screened at the prestigious Cannes Film Festival.[11] Inspite of being very busy with film shoots, Siddiqui continues to take time out to do farming in his native place in Uttar Pradesh (North India).[12] He is an active motivational speaker, drawing on his struggles and experiences to inspire. He stars in two Emmy nominated series, Sacred Games (2019), a two-season Netflix original series for which he was conferred with the GQ - Men of the Year Award 2018 for the second time[13] and United Kingdom's McMafia directed by James Watkins. Recently Nawazuddin Siddiqui was awarded with the highest honorary, The Lesley Ho Asian Film Talent Award at the prestigious Singapore International Film Festival[14] for his globally appreciated series Sacred Games duology. ",791,"['nawazuddin', 'siddiqui', 'film', 'wasseypur', 'gang wasseypur', 'role', 'gang', 'nawazuddin siddiqui', 'film festival', 'festival', 'khan', 'short', 'cannes film festival', 'cannes film']"
8,Parineeti Chopra,,"Pari
Tisha
PC Junior","5' 3"" (1.6 m)","https://m.media-amazon.com/images/M/MV5BMTkzOTgzNzYzMl5BMl5BanBnXkFtZTgwMTI0MzY3OTE@._V1_UY98_CR40,0,67,98_AL_.jpg",,https://www.forbesindia.com/media/celeblist2019/small/041_Parineeti%20Chopra.jpg,41.0,"Parineeti Chopra is an Indian actress and singer who appears in Hindi films, was born on in Ambala, Haryana into a Punjabi family. Her father, Pawan Chopra, is a businessman and supplier to the Indian Army at Ambala Cantonment and her mother is Reena Chopra. Chopra studied at the Convent of Jesus and Mary, Ambala. In an interview published in The Hindu, she revealed that she was a very good student and had always wanted to become an investment banker. Chopra is also a trained Hindustani classical singer with a B.A. Honours in music. She used to perform on stage with her cousin, Priyanka Chopra, and their fathers in her childhood.[12]

Chopra initially aspired to pursue a career in investment banking, but after obtaining a triple honor's degree in business, finance and economics from Manchester Business School she returned to India during the 2009 economic recession and joined Yash Raj Films as a public relations consultant. Later, she signed a deal with the company as an actress. Chopra made her acting debut with an acclaimed performance in the 2011 romantic comedy Ladies vs. Ricky Bahl (2011), winning the Filmfare Award for Best Female Debut and a Best Supporting Actress nomination. She followed it by garnering widespread critical acclaim for her starring roles in the box office hits- Ishaqzaade (2012), Shuddh Desi Romance (2013) and Hasee Toh Phasee (2014). The first of these won her the National Film Award - Special Mention while the first two of these earned her two nominations for the Filmfare Award for Best Actress. After a three-year hiatus from full-time acting, she starred in the blockbuster comedy Hotchpotch Again (2017). Parineeti Chopra moved up the Forbes India Celebrity 100 list from 83 rank in 2017 to 41 in 2019 with her earnings at Rs 12.50 crore.",299,"['chopra', 'ambala', 'parineeti chopra', 'parineeti', 'investment', 'actress', 'nomination', 'best', 'filmfare award best', 'singer', 'award', 'business', 'filmfare award', 'comedy']"
9,Zareen Khan,"May 14, 
     
1987    
  
in Bombay, Maharashtra, India",,"5' 5"" (1.65 m)","https://m.media-amazon.com/images/M/MV5BMjI2OTk0NDQ0N15BMl5BanBnXkFtZTgwMDkxMTIzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg",,,-1.0,"Khan was born to a Muslim Pathan family in Mumbai. Khan was forced to abandon her education while in college and begin working due to the financial troubles of her family. With no marketable skills to rely on, she tried her hand at modeling. Khan did quite a few small assignments that fetched her enough money to run the house. She received her entry into acting when she was visiting the set of Yuvraaj at Subhash Ghai's film school Whistling Woods. Salman Khan noticed her and decided to cast her for his film Veer. After a screen test, Khan was confirmed for the role of Princess Yashodhara. She gained eight kilos in order to be more convincing as a 19th century princess. ",123,"['khan', 'princess', 'quite small assignment', 'quite small', 'princess yashodhara gained', 'princess yashodhara', 'pathan family mumbai', 'pathan family', 'pathan', 'order convincing th', 'order convincing', 'noticed decided cast', 'noticed decided', 'muslim pathan family']"
